[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.21
Rm = 12.4829059
Bf(kN/mm) = 1.4605
Fb = 0.03
Rb = 0.01282051
Fy = /
Ry = 
E(GPa) = -0.1112673
Slope = -2.603656
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
11.420	4.45	-0.9120	-0.9100
11.440	4.46	-0.9130	-0.9100
11.460	4.47	-0.9150	-0.9100
11.480	4.48	-0.9160	-0.9200
11.500	4.48	-0.9180	-0.9200
11.520	4.49	-0.9190	-0.9200
11.540	4.50	-0.9210	-0.9200
11.560	4.50	-0.9220	-0.9200
11.580	4.50	-0.9250	-0.9300
11.600	4.51	-0.9270	-0.9300
11.620	4.52	-0.9280	-0.9300
11.640	4.53	-0.9300	-0.9300
11.660	4.53	-0.9310	-0.9300
11.680	4.54	-0.9330	-0.9300
11.700	4.55	-0.9340	-0.9300
11.720	4.55	-0.9360	-0.9400
11.740	4.55	-0.9380	-0.9400
11.760	4.56	-0.9390	-0.9400
11.780	4.56	-0.9410	-0.9400
11.800	4.57	-0.9420	-0.9400
11.820	4.58	-0.9450	-0.9500
11.840	4.59	-0.9470	-0.9500
11.860	4.59	-0.9480	-0.9500
11.880	4.60	-0.9500	-0.9500
11.900	4.61	-0.9510	-0.9500
11.920	4.61	-0.9530	-0.9500
11.940	4.62	-0.9540	-0.9500
11.960	4.63	-0.9560	-0.9600
11.980	4.63	-0.9570	-0.9600
12.000	4.63	-0.9590	-0.9600
12.020	4.64	-0.9620	-0.9600
12.040	4.65	-0.9630	-0.9600
12.060	4.66	-0.9650	-0.9600
12.080	4.66	-0.9660	-0.9700
12.100	4.67	-0.9680	-0.9700
12.120	4.67	-0.9700	-0.9700
12.140	4.68	-0.9710	-0.9700
12.160	4.68	-0.9730	-0.9700
12.180	4.69	-0.9740	-0.9700
12.200	4.69	-0.9760	-0.9800
12.220	4.70	-0.9770	-0.9800
12.240	4.70	-0.9790	-0.9800
12.260	4.71	-0.9800	-0.9800
12.280	4.72	-0.9830	-0.9800
12.300	4.73	-0.9850	-0.9800
12.320	4.73	-0.9860	-0.9900
12.340	4.74	-0.9880	-0.9900
12.360	4.74	-0.9890	-0.9900
12.380	4.74	-0.9910	-0.9900
12.400	4.76	-0.9920	-0.9900
12.420	4.76	-0.9940	-0.9900
12.440	4.76	-0.9970	-1.0000
12.460	4.78	-0.9980	-1.0000
